,Date,Time,Comp,item Type,item Genre,Headlines,Relv,Prev Sentmt,Pos,Neut,Neg,1st Mention Loc,Total Sent,# of Comp,# of words,Broker Action,Price/Mkt Commentary,Volm/News Item Count,Novelty/Linked Count,Topic Codes,Other Comps,Other Metadata
0,2021-02-28,09:41AM,DIS,ALERT,Actuality,Disney World Has Made Another Change To Its Rules Inside The Parks,1.0,0,0.11055276381909548,0.03015075376884422,0.005025125628140704,1,25,0,199,Undefined,Facts,Undefined,Undefined,eocstat,Nan,8
1,2021-03-01,09:48AM,DIS,ARTICLE,Wrap-up,2 Reasons Disney Is Still a Buy,0.16666666666666666,1,0.07860262008733625,0.004366812227074236,0.017467248908296942,1,33,5,229,Undefined,Opinion,Undefined,Undefined,erol,"OB, NFLX, NDAQ, PIXR, TMFC",4
2,2021-03-01,1:00PM,DIS,UPDATES,Current,"Every new movie and show coming to Disney Plus in March - Raya and the Last Dragon, WandaVision finale, The Falcon and the Winter Soldier premiere!",0.3333333333333333,1,0.109375,0.03125,0.0078125,1,54,2,128,Undefined,Facts,Undefined,Undefined,nprod,"National Geographic Documentary Films, MVL",7
